Jan. 17, 2025   16:34:53
Cyclic Voltammetry
File: c:\users\user\desktop\Data Source:  Experiment
Instrument Model:  CHI6116E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = 0.8
High E (V) = 0.8
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 22
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Segment 1:
Ep = -0.589V
ip = -1.734e-5A
Ah = -1.057e-5C

Segment 2:

Segment 3:
Ep = -0.566V
ip = -1.152e-5A
Ah = -7.621e-6C

Segment 4:

Segment 5:
Ep = -0.483V
ip = -1.374e-5A
Ah = -1.427e-5C

Segment 6:

Segment 7:
Ep = -0.475V
ip = -2.079e-5A
Ah = -2.142e-5C

Segment 8:

Segment 9:
Ep = -0.470V
ip = -2.128e-5A
Ah = -2.161e-5C

Segment 10:

Segment 11:
Ep = -0.470V
ip = -1.912e-5A
Ah = -1.969e-5C

Segment 12:

Segment 13:
Ep = -0.470V
ip = -1.776e-5A
Ah = -1.812e-5C

Segment 14:

Segment 15:
Ep = -0.476V
ip = -1.511e-5A
Ah = -1.604e-5C

Segment 16:

Segment 17:
Ep = -0.480V
ip = -1.388e-5A
Ah = -1.522e-5C

Segment 18:

Segment 19:
Ep = -0.481V
ip = -1.279e-5A
Ah = -1.400e-5C

Segment 20:

Segment 21:
Ep = -0.487V
ip = -1.257e-5A
Ah = -1.421e-5C

Segment 22:

Potential/V, Current/A

0.800, 6.433e-4
0.799, 6.363e-4
0.798, 6.295e-4
0.797, 6.227e-4
0.796, 6.160e-4
0.795, 6.093e-4
0.794, 6.028e-4
0.793, 5.963e-4
0.792, 5.899e-4
0.791, 5.835e-4
0.790, 5.772e-4
0.789, 5.710e-4
0.788, 5.648e-4
0.787, 5.586e-4
0.786, 5.525e-4
0.785, 5.465e-4
0.784, 5.404e-4
0.783, 5.345e-4
0.782, 5.285e-4
0.781, 5.227e-4
0.780, 5.169e-4
0.779, 5.111e-4
0.778, 5.054e-4
0.777, 4.997e-4
0.776, 4.940e-4
0.775, 4.883e-4
0.774, 4.827e-4
0.773, 4.771e-4
0.772, 4.715e-4
0.771, 4.659e-4
0.770, 4.604e-4
0.769, 4.549e-4
0.768, 4.495e-4
0.767, 4.440e-4
0.766, 4.386e-4
0.765, 4.333e-4
0.764, 4.279e-4
0.763, 4.226e-4
0.762, 4.172e-4
0.761, 4.120e-4
0.760, 4.067e-4
0.759, 4.015e-4
0.758, 3.963e-4
0.757, 3.912e-4
0.756, 3.860e-4
0.755, 3.808e-4
0.754, 3.757e-4
0.753, 3.706e-4
0.752, 3.656e-4
0.751, 3.606e-4
0.750, 3.556e-4
0.749, 3.507e-4
0.748, 3.457e-4
0.747, 3.408e-4
0.746, 3.359e-4
0.745, 3.310e-4
0.744, 3.262e-4
0.743, 3.213e-4
0.742, 3.165e-4
0.741, 3.117e-4
0.740, 3.069e-4
0.739, 3.021e-4
0.738, 2.973e-4
0.737, 2.926e-4
0.736, 2.879e-4
0.735, 2.832e-4
0.734, 2.786e-4
0.733, 2.739e-4
0.732, 2.693e-4
0.731, 2.647e-4
0.730, 2.601e-4
0.729, 2.555e-4
0.728, 2.510e-4
0.727, 2.465e-4
0.726, 2.420e-4
0.725, 2.375e-4
